Ref,Val,Package,PosX,PosY,Rot,Side
"MX111","D","MXOnly-1U-NoLED",37.350700,-11.912600,0.000000,top
"MX112","F","MXOnly-1U-NoLED",56.400700,-11.912600,0.000000,top
"MX113","G","MXOnly-1U-NoLED",75.450700,-11.912600,0.000000,top
"MX114","H","MXOnly-1U-Hotswap-NoSilk",113.601500,-11.938000,180.000000,top
"MX115","J","MXOnly-1U-Hotswap-NoSilk",132.651500,-11.938000,180.000000,top
"MX116","K","MXOnly-1U-Hotswap-NoSilk",151.701500,-11.938000,180.000000,top
"MX117","L","MXOnly-1U-Hotswap-NoSilk",170.751500,-11.938000,180.000000,top
"MX118",";","MXOnly-1U-Hotswap-NoSilk",189.801500,-11.938000,180.000000,top
"MX119","'","MXOnly-1U-Hotswap-NoSilk",208.851500,-11.938000,180.000000,top
"MX120","Enter","MXOnly-2.25U-Hotswap-NoSilk",239.807750,-11.938000,180.000000,top
"MX121","Pg Dn","MXOnly-1U-Hotswap-NoSilk",280.289000,-11.938000,180.000000,top
"MX122","Insert","MXOnly-1U-Hotswap-NoSilk",-81.711800,-11.912600,180.000000,top
"MX123","Menu","MXOnly-1U-Hotswap-NoSilk",-62.661800,-11.912600,180.000000,top
"MX124","Caps","MXOnly-1.75U-Hotswap-NoSilk",-26.943050,-11.912600,180.000000,top
"MX125","A","MXOnly-1U-Hotswap-NoSilk",-0.749300,-11.912600,180.000000,top
"MX126","S","MXOnly-1U-Hotswap-NoSilk",18.300700,-11.912600,180.000000,top
"MX127","D","MXOnly-1U-Hotswap-NoSilk",37.350700,-11.912600,180.000000,top
"MX128","F","MXOnly-1U-Hotswap-NoSilk",56.400700,-11.912600,180.000000,top
"MX129","G","MXOnly-1U-Hotswap-NoSilk",75.450700,-11.912600,180.000000,top
"MX130","N","MXOnly-1U-NoLED",123.126500,-30.988000,0.000000,top
"MX131","M","MXOnly-1U-NoLED",142.176500,-30.988000,0.000000,top
"MX132",",","MXOnly-1U-NoLED",161.226500,-30.988000,0.000000,top
"MX133",".","MXOnly-1U-NoLED",180.276500,-30.988000,0.000000,top
"MX134","/","MXOnly-1U-NoLED",199.326500,-30.988000,0.000000,top
"MX135","RShift","MXOnly-1.75U-NoLED",225.520250,-30.988000,0.000000,top
"MX136","Up","MXOnly-1U-NoLED",256.413000,-35.737800,0.000000,top
"MX137","End","MXOnly-1U-NoLED",280.289000,-30.988000,0.000000,top
"MX138","M1","MXOnly-1U-NoLED",-81.711800,-30.962600,0.000000,top
"MX139","M3","MXOnly-1U-NoLED",-62.661800,-30.962600,0.000000,top
"MX140","LShift","MXOnly-2.25U-NoLED",-22.180550,-30.962600,0.000000,top
"MX141","Z","MXOnly-1U-NoLED",8.775700,-30.962600,0.000000,top
"MX142","X","MXOnly-1U-NoLED",27.825700,-30.962600,0.000000,top
"MX143","C","MXOnly-1U-NoLED",46.875700,-30.962600,0.000000,top
"MX144","V","MXOnly-1U-NoLED",65.925700,-30.962600,0.000000,top
"MX145","B","MXOnly-1U-NoLED",84.975700,-30.962600,0.000000,top
"MX146","N","MXOnly-1U-Hotswap-NoSilk",123.126500,-30.988000,180.000000,top
"MX147","M","MXOnly-1U-Hotswap-NoSilk",142.176500,-30.988000,180.000000,top
"MX148",",","MXOnly-1U-Hotswap-NoSilk",161.226500,-30.988000,180.000000,top
"MX149",".","MXOnly-1U-Hotswap-NoSilk",180.276500,-30.988000,180.000000,top
"MX150","/","MXOnly-1U-Hotswap-NoSilk",199.326500,-30.988000,180.000000,top
"MX151","RShift","MXOnly-1.75U-Hotswap-NoSilk",225.520250,-30.988000,180.000000,top
"MX152","Up","MXOnly-1U-Hotswap-NoSilk",256.413000,-35.737800,180.000000,top
"MX153","End","MXOnly-1U-Hotswap-NoSilk",280.289000,-30.988000,180.000000,top
"MX154","M1","MXOnly-1U-Hotswap-NoSilk",-81.711800,-30.962600,180.000000,top
"MX155","M3","MXOnly-1U-Hotswap-NoSilk",-62.661800,-30.962600,180.000000,top
"MX156","LShift","MXOnly-2.25U-Hotswap-NoSilk",-22.180550,-30.962600,180.000000,top
"MX157","Z","MXOnly-1U-Hotswap-NoSilk",8.775700,-30.962600,180.000000,top
"MX158","X","MXOnly-1U-Hotswap-NoSilk",27.825700,-30.962600,180.000000,top
"MX159","C","MXOnly-1U-Hotswap-NoSilk",46.875700,-30.962600,180.000000,top
"MX160","V","MXOnly-1U-Hotswap-NoSilk",65.925700,-30.962600,180.000000,top
"MX161","B","MXOnly-1U-Hotswap-NoSilk",84.975700,-30.962600,180.000000,top
"MX162","RSpace","MXOnly-3U-ReversedStabilizers-NoLED",137.414000,-50.038000,0.000000,top
"MX163","RAlt","MXOnly-1U-NoLED",175.514000,-50.038000,0.000000,top
"MX164","RSuper","MXOnly-1U-NoLED",194.564000,-50.038000,0.000000,top
"MX165","RCtrl","MXOnly-1U-NoLED",213.614000,-50.038000,0.000000,top
"MX166","Left","MXOnly-1U-NoLED",237.363000,-54.787800,0.000000,top
"MX167","Down","MXOnly-1U-NoLED",256.413000,-54.787800,0.000000,top
"MX168","Right","MXOnly-1U-NoLED",275.463000,-54.787800,0.000000,top
"MX169","M2","MXOnly-1U-NoLED",-81.711800,-50.012600,0.000000,top
"MX170","M4","MXOnly-1U-NoLED",-62.661800,-50.012600,0.000000,top
"MX171","LControl","MXOnly-1.5U-NoLED",-29.324300,-50.012600,0.000000,top
"MX172","LSuper","MXOnly-1U-NoLED",-5.511800,-50.012600,0.000000,top
"MX173","LAlt","MXOnly-1.5U-NoLED",18.300700,-50.012600,0.000000,top
"MX174","LSpace","MXOnly-3U-ReversedStabilizers-NoLED",61.163200,-50.012600,0.000000,top
"MX175","RSpace","MXOnly-1U-Hotswap-NoSilk",137.414000,-50.038000,180.000000,top
"MX176","RAlt","MXOnly-1U-Hotswap-NoSilk",175.514000,-50.038000,180.000000,top
"MX177","RSuper","MXOnly-1U-Hotswap-NoSilk",194.564000,-50.038000,180.000000,top
"MX178","RCtrl","MXOnly-1U-Hotswap-NoSilk",213.614000,-50.038000,180.000000,top
"MX179","Left","MXOnly-1U-Hotswap-NoSilk",237.363000,-54.787800,180.000000,top
"MX180","Down","MXOnly-1U-Hotswap-NoSilk",256.413000,-54.787800,180.000000,top
"MX181","Right","MXOnly-1U-Hotswap-NoSilk",275.463000,-54.787800,180.000000,top
"MX182","M2","MXOnly-1U-Hotswap-NoSilk",-81.711800,-50.012600,180.000000,top
"MX183","M4","MXOnly-1U-Hotswap-NoSilk",-62.661800,-50.012600,180.000000,top
